county,state,state_abb,year,total_population
todd county,minnesota,MN,2016,24381
todd county,minnesota,MN,2017,24526
todd county,minnesota,MN,2018,24570
todd county,minnesota,MN,2019,24664
traverse county,minnesota,MN,2010,3534
traverse county,minnesota,MN,2011,3489
traverse county,minnesota,MN,2012,3404
traverse county,minnesota,MN,2013,3402
traverse county,minnesota,MN,2014,3379
traverse county,minnesota,MN,2015,3373
traverse county,minnesota,MN,2016,3330
traverse county,minnesota,MN,2017,3304
traverse county,minnesota,MN,2018,3291
traverse county,minnesota,MN,2019,3259
wabasha county,minnesota,MN,2010,21672
wabasha county,minnesota,MN,2011,21610
wabasha county,minnesota,MN,2012,21542
wabasha county,minnesota,MN,2013,21566
wabasha county,minnesota,MN,2014,21461
wabasha county,minnesota,MN,2015,21387
wabasha county,minnesota,MN,2016,21435
wabasha county,minnesota,MN,2017,21590
wabasha county,minnesota,MN,2018,21645
wabasha county,minnesota,MN,2019,21627
wadena county,minnesota,MN,2010,13816
wadena county,minnesota,MN,2011,13652
wadena county,minnesota,MN,2012,13607
wadena county,minnesota,MN,2013,13641
wadena county,minnesota,MN,2014,13589
wadena county,minnesota,MN,2015,13667
