county,year,county_fips,diabetes_percentage,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent
pamlico,2016,37137,12,17.3,31.9,27
pasquotank,2016,37139,10,18.9,33.7,27.7
pender,2016,37141,15,18.8,28.8,26.3
perquimans,2016,37143,13.1,18.5,33.2,26.4
person,2016,37145,7.4,19.2,32.7,27.3
pitt,2016,37147,9.5,20.8,34.4,25.5
polk,2016,37149,11,15.2,27,26.4
randolph,2016,37151,9.7,20.2,29.8,30.8
richmond,2016,37153,17.4,21.2,37.1,32.1
robeson,2016,37155,14.9,28.6,39.1,34
rockingham,2016,37157,12,20.3,34,31.2
rowan,2016,37159,12.3,19.6,34.3,30.5
rutherford,2016,37161,10.5,21.7,28.1,29.1
sampson,2016,37163,13.1,20,38.6,32
scotland,2016,37165,16.7,24.9,36.6,26.5
stanly,2016,37167,7.8,17.9,29.8,32.4
stokes,2016,37169,11,18.5,33.7,31.3
surry,2016,37171,12.1,19,28.9,31.7
swain,2016,37173,11,23.1,35.3,28.9
transylvania,2016,37175,6.6,16.1,24,22.7
tyrrell,2016,37177,10.9,21.4,31,27.3
union,2016,37179,8.1,16.8,26.6,18.7
vance,2016,37181,8,21.8,36.9,32.6
wake,2016,37183,8.4,15.1,24.9,18.3
warren,2016,37185,4.8,21.5,37.7,29.9
washington,2016,37187,14.2,21.3,32.8,29.1
watauga,2016,37189,6.8,21.2,26.4,21.9
wayne,2016,37191,15.3,20.2,34.7,26.5
wilkes,2016,37193,11.3,19.9,26.2,29.3
wilson,2016,37195,12.3,21.8,38.1,31.3
yadkin,2016,37197,8.9,19.6,32.3,25.8
yancey,2016,37199,15.3,18.5,27,24.7
