year,county_fips,diabetes_percentage,diabetes_lower_limit,diabetes_upper_limit
2010,05089,10.7,8.1,14.2
2010,05091,11.2,8.7,14.1
2010,05093,12.5,10,15.5
2010,05095,11.4,8.5,14.7
2010,05097,9.1,6.6,12.2
2010,05099,12.3,9.4,16
2010,05101,10.1,7.3,13.2
2010,05103,11,8.7,13.6
2010,05105,10.8,7.7,14.4
2010,05107,13.8,11.2,16.7
2010,05109,10.6,7.7,14.2
2010,05111,10.7,7.9,14.1
2010,05113,9.3,7,12
2010,05115,11.3,8.9,14
2010,05117,10.1,7.3,13.5
2010,05119,10.6,9.5,11.9
2010,05121,10.4,7.6,13.9
2010,05125,10.2,8.2,12.7
2010,05127,10.7,7.9,14.4
2010,05129,9.7,7.1,12.9
2010,05131,10.6,8.6,12.7
2010,05133,13,10.2,16.4
2010,05135,9.3,6.8,12.2
2010,05123,11.9,9.2,15.2
2010,05137,10.4,7.6,13.8
2010,05139,10.3,8.1,13
2010,05141,10.2,7.6,13.3
2010,05143,8.5,7.2,10
2010,05145,9.9,7.8,12.4
2010,05147,11,8.3,14.5
2010,05149,11.5,8.8,14.5
2010,06001,7.8,6.9,8.7
2010,06003,7.7,5.6,10.4
2010,06005,7.5,5.7,10
2010,06007,7.3,5.9,8.8
2010,06009,6.7,4.9,8.8
2010,06011,7.4,5.4,9.7
2010,06013,7,6.2,8
2010,06015,8.1,6.1,10.6
2010,06017,6.8,5.3,8.3
2010,06019,9.1,7.9,10.4
2010,06021,7.1,5.2,9.6
2010,06023,7.8,6.3,9.5
2010,06025,7.5,5.7,9.5
2010,06027,7.4,5.6,9.8
2010,06029,8.2,7,9.5
2010,06031,8.4,6.5,10.5
2010,06033,8,6.2,10.1
2010,06035,7.8,5.9,10.2
2010,06037,7.8,7.3,8.3
2010,06039,8.8,6.8,11
2010,06041,4.6,3.6,5.6
2010,06043,7.1,5.2,9.2
2010,06045,6.6,5.1,8.3
2010,06047,8.2,6.6,10.1
2010,06049,6.8,4.8,9.1
2010,06051,6.6,4.8,8.9
2010,06053,7,5.7,8.5
2010,06055,6.3,4.9,8
2010,06057,5.5,4.2,7.1
2010,06059,7.3,6.6,7.9
2010,06061,6.2,5.1,7.4
2010,06063,6.9,5,9.1
2010,06065,9.1,8.2,10.1
2010,06067,9,8.1,10
2010,06069,7.3,5.4,9.4
2010,06071,8.7,7.8,9.6
2010,06073,7.5,6.9,8.2
2010,06075,7,6,8.2
2010,06077,9.4,8.1,10.8
2010,06079,6,4.9,7.3
2010,06081,6.6,5.6,7.7
2010,06083,6.4,5.3,7.7
2010,06085,7.6,6.8,8.5
2010,06087,5.9,4.7,7.2
2010,06089,7.5,6,9.2
2010,06091,6.9,4.9,9.5
2010,06093,6.7,5.1,8.7
2010,06095,9.8,8.1,11.5
2010,06097,5.9,5,6.9
2010,06099,8.1,6.8,9.6
2010,06101,7.9,6.1,10
2010,06103,7.6,5.8,9.7
2010,06105,7.2,5.3,9.6
2010,06107,7.6,6.2,9.2
2010,06109,6.2,4.7,7.9
2010,06111,6.7,5.7,7.8
2010,06113,7.5,6,9.4
2010,06115,7.7,5.9,9.9
2010,08001,7.3,6.5,8.2
2010,08003,6.3,4.9,8
2010,08005,6,5.3,6.7
2010,08007,5.1,3.8,6.7
2010,08009,5.6,4,7.4
2010,08011,6.2,4.6,8.2
2010,08013,4.9,4.1,5.8
2010,08014,5.6,4.2,7.1
2010,08015,4.8,3.6,6.1
2010,08017,6,4.3,8.3
2010,08019,4.9,3.6,6.5
2010,08021,5.1,3.7,6.7
2010,08023,5.6,4.1,7.5
2010,08025,6.6,4.8,8.8
2010,08027,5.7,4.1,7.6
2010,08029,6,4.7,7.6
2010,08031,6.5,5.8,7.3
2010,08033,5.6,4.1,7.5
2010,08035,4.4,3.7,5.2
2010,08037,4.4,3.3,5.7
2010,08041,5.9,5.3,6.6
2010,08039,4.6,3.7,5.7
2010,08043,7.4,6.1,8.9
2010,08045,5.3,4.1,6.6
2010,08047,5.6,4,7.6
2010,08049,5.3,3.8,7.1
2010,08051,4.8,3.4,6.4
2010,08053,5.4,3.7,7.5
2010,08055,5.8,4.3,7.6
2010,08057,5.3,3.7,7.2
2010,08059,5.2,4.6,5.8
2010,08061,5.7,3.9,7.9
2010,08063,6.5,4.9,8.3
2010,08067,5.3,4.3,6.5
2010,08065,5.1,3.7,6.9
2010,08069,4.9,4.2,5.7
2010,08071,6.1,4.6,7.9
2010,08073,6.7,5.1,8.7
2010,08075,6.3,4.9,7.9
2010,08077,5.9,4.9,6.9
2010,08079,5.1,3.6,7
2010,08081,6.2,4.9,7.8
2010,08083,5.6,4.3,7.1
2010,08085,5.1,4,6.4
2010,08087,6.6,5.2,8.2
2010,08089,6,4.7,7.7
2010,08091,5.3,3.8,7.3
2010,08093,4.5,3.5,5.8
2010,08095,6,4.3,8
2010,08097,4.6,3.4,6.1
2010,08099,6.3,4.8,8.3
2010,08101,7.7,6.6,8.9
2010,08103,5.6,4.2,7.3
2010,08105,6.1,4.7,7.9
2010,08107,3.5,2.6,4.5
2010,08109,4.7,3.5,6.2
2010,08111,5.5,3.8,7.6
2010,08113,5.1,3.6,7
2010,08115,5.5,3.9,7.5
2010,08117,4.5,3.2,6
2010,08119,5.7,4.5,7
2010,08121,5.6,4,7.5
2010,08123,6.3,5.3,7.3
2010,08125,5.2,3.8,6.8
2010,09001,6.4,5.9,7
2010,09003,7.6,7,8.3
2010,09005,6.5,5.3,7.7
2010,09007,6.9,5.7,8.3
2010,09009,8.6,7.9,9.3
2010,09011,7.1,6.1,8.3
2010,09013,7,5.7,8.4
2010,09015,9.4,7.9,11.1
2010,10001,10.9,10.1,11.8
2010,10003,7.9,7.3,8.6
2010,10005,9,8.2,9.9
2010,11001,8.8,8.3,9.2
2010,12001,7.8,6.6,9.1
2010,12003,12.9,11.2,14.8
2010,12005,9.3,7.9,10.9
2010,12007,12.2,10.5,14.2
2010,12009,9.9,8.5,11.4
2010,12011,8.4,7.2,9.6
2010,12013,12.3,10.5,14.3
2010,12015,8.7,7.3,10.4
2010,12017,9.1,7.6,10.8
2010,12019,10.3,8.8,12
2010,12021,7.5,6.3,8.8
2010,12023,11.4,9.8,13.2
2010,12027,11.3,9.7,13.2
2010,12029,11.2,9.5,13
2010,12031,10.6,9.3,11.8
2010,12033,11.4,9.9,12.9
2010,12035,8.8,7.4,10.2
2010,12037,8.7,7.3,10.2
2010,12039,12.9,11.2,14.8
2010,12041,9.3,7.7,11.1
2010,12043,10.4,8.9,12.2
2010,12045,10.2,8.6,12.1
2010,12047,13.3,11.4,15.4
2010,12049,12.7,11,14.7
2010,12051,11.3,9.6,13.2
2010,12053,9.1,7.6,10.7
2010,12055,9.7,8.3,11.4
2010,12057,10.2,8.9,11.7
2010,12059,13.2,11.4,15.3
2010,12061,8.7,7.3,10.3
2010,12063,11.3,9.8,13
2010,12065,11.4,9.8,13.1
2010,12067,11.1,9.4,12.9
2010,12069,9.3,7.9,10.7
2010,12071,8.1,6.9,9.4
2010,12073,9.8,8.4,11.3
2010,12075,10.4,9,12.2
