year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2014,gates,37073,10.7,0.51,0.23,26.13,49.7,1.16,75.41,26.67,31.65,10.92,7.33,NA,32.8,30.7,FALSE
2010,graham,37075,9.9,3.98,0.32,0.35,71.5,1.2,74.95,27.15,29.29,11.18,8.54,NA,28.8,NA,TRUE
2011,graham,37075,9.8,4.06,0.33,0.3,71.74,1.41,75.02,26.94,29.37,11.34,8.77,NA,28.8,25.5,TRUE
2012,graham,37075,9.5,4.27,0.34,0.37,71.74,1.52,75.2,27.09,28.75,11.81,9.07,NA,27.7,27.5,TRUE
2013,graham,37075,9.5,4.35,0.37,0.44,71.52,1.5,75.17,26.63,28.52,12.48,9.04,22.8,27.7,27.5,TRUE
2014,graham,37075,9.3,4.5,0.37,0.44,71.37,1.9,74.78,26.52,28.01,12.79,9.36,22.4,29.5,27.7,TRUE
2010,granville,37077,11.6,0.52,0.54,24.26,48.77,4.08,70.02,32.27,28.98,7.51,5.34,27.2,36.1,NA,TRUE
2011,granville,37077,11.1,0.52,0.54,24.37,49.22,4.13,70.52,31.7,29.61,7.85,5.48,26.9,33.3,27.7,TRUE
2012,granville,37077,12.1,0.54,0.54,24.53,49.51,4.2,70.91,31.34,29.77,8.31,5.69,26.1,32.1,26.7,TRUE
2013,granville,37077,10.7,0.55,0.57,24.78,49.96,4.26,71.61,31.24,30.07,8.72,5.84,22.5,32.1,26.7,TRUE
2014,granville,37077,10.8,0.57,0.57,24.95,50.02,4.27,71.84,30.91,30.08,9.19,5.93,22.8,30.2,29.7,TRUE
2010,greene,37079,11,1.29,0.34,27.88,44.87,8.17,66.22,33.96,27.77,7.05,5.6,12,33.9,NA,TRUE
2011,greene,37079,11.5,1.34,0.37,27.97,45.2,8.13,66.76,34.27,27.82,7.11,5.69,10.9,32.2,28.8,TRUE
2012,greene,37079,11.8,1.39,0.37,28.38,45.36,8.19,67.32,33.87,28.05,7.67,5.92,11.2,33.5,29.4,TRUE
2013,greene,37079,11.6,1.38,0.4,28.46,45.58,8.36,67.45,33.65,27.94,8.1,6.12,12.7,33.5,29.4,TRUE
2014,greene,37079,11.1,1.43,0.43,29.13,45.51,8.14,68.35,33.59,28.21,8.42,6.28,NA,31.8,27.9,TRUE
2010,guilford,37081,9.7,0.52,2.85,23.13,46.56,4.18,68.88,34.95,25.73,6.64,5.74,20.3,27.8,NA,FALSE
2011,guilford,37081,9.3,0.52,2.98,23.5,46.41,4.2,69.21,34.84,25.99,6.82,5.76,19.5,27.9,23.2,FALSE
2012,guilford,37081,9.1,0.52,3.1,23.83,46.19,4.22,69.41,34.65,25.92,7.27,5.79,18.4,28.2,23.2,FALSE
2013,guilford,37081,9.7,0.52,3.23,24.14,45.91,4.24,69.55,34.43,25.94,7.61,5.82,18,28.2,23.2,FALSE
2014,guilford,37081,9.7,0.52,3.34,24.42,45.62,4.28,69.62,34.15,25.93,7.94,5.89,16.7,27.4,23.5,FALSE
2010,halifax,37083,13.7,2.79,0.57,38.71,32.28,1.27,73.08,28.54,29.59,8.77,7.44,19.7,34.1,NA,TRUE
2011,halifax,37083,12.8,2.83,0.59,38.97,32.3,1.3,73.39,28.51,29.71,8.89,7.58,21.5,36.9,31.2,TRUE
2012,halifax,37083,12.6,2.88,0.58,39.35,32.42,1.37,73.86,28.61,29.52,9.43,7.66,21.6,38.5,34.3,TRUE
2013,halifax,37083,11.4,2.93,0.58,39.87,32.35,1.4,74.33,28.72,29.31,9.91,7.78,22.8,38.5,34.3,TRUE
2014,halifax,37083,12.3,2.93,0.58,40.2,32.37,1.45,74.63,28.84,29.08,10.27,7.89,21.3,37.9,33.9,TRUE
2010,harnett,37085,11.2,1.23,0.9,14.42,52.52,5.83,63.24,35.57,23.12,6.14,4.25,26.8,29.5,NA,TRUE
2011,harnett,37085,10.2,1.18,0.94,14.61,52.6,6.01,63.33,35.82,23.09,6.16,4.27,27.4,31.7,26.9,TRUE
2012,harnett,37085,11.6,1.17,1.01,14.94,52.53,6.08,63.58,35.93,22.96,6.46,4.3,28,31.9,27.4,TRUE
2013,harnett,37085,10.7,1.17,1.07,15.16,52.34,6.28,63.45,35.98,22.77,6.64,4.33,27.3,31.9,27.4,TRUE
2014,harnett,37085,11.1,1.18,1.1,15.29,52.44,6.43,63.58,35.75,23.03,6.83,4.4,25.7,33.1,28.6,TRUE
2010,haywood,37087,8.3,0.41,0.32,0.96,76.73,1.95,76.47,27.29,29.98,11.84,9.32,26.7,28.3,NA,FALSE
2011,haywood,37087,8.8,0.42,0.32,0.91,77.23,1.95,76.94,27.21,30.12,12.01,9.54,25.9,28.7,23.7,FALSE
2012,haywood,37087,9.7,0.42,0.33,0.91,77.5,1.97,77.19,27.06,29.84,12.55,9.72,23.9,28.1,24.2,FALSE
2013,haywood,37087,9.7,0.43,0.37,0.95,77.77,1.99,77.53,27,29.54,13,9.97,25.6,28.1,24.2,FALSE
2014,haywood,37087,8.8,0.44,0.38,0.95,77.98,2.04,77.72,26.95,29.22,13.42,10.16,26.1,25.9,21.6,FALSE
2010,henderson,37089,7.6,0.43,0.87,2.31,73.99,5.68,71.92,27.04,28.14,11.72,10.71,20.3,25.8,NA,FALSE
2011,henderson,37089,8.3,0.45,0.92,2.37,74,5.68,72.06,26.95,28.16,11.88,10.75,20,25.1,22,FALSE
2012,henderson,37089,8.4,0.46,0.94,2.39,74.18,5.59,72.38,26.69,27.91,12.52,10.85,19.7,23.6,23.4,FALSE
2013,henderson,37089,7.5,0.48,1,2.44,74.32,5.56,72.68,26.58,27.79,13.01,10.87,18.5,23.6,23.4,FALSE
2014,henderson,37089,6.9,0.49,1.01,2.44,74.52,5.59,72.87,26.32,27.8,13.45,10.89,17.4,21.9,23.5,FALSE
2010,hertford,37091,12.3,0.96,0.5,44.11,29.52,2.07,73.02,30.02,29.25,8.77,7.05,21.8,34.3,NA,TRUE
2011,hertford,37091,12.1,1.06,0.5,44.21,29.42,2.26,72.93,29.95,29.21,8.9,7.13,23.5,34,32.4,TRUE
2012,hertford,37091,12.3,1.06,0.52,44.7,29.41,2.33,73.36,30.11,29.09,9.15,7.34,24.3,35.4,34.5,TRUE
2013,hertford,37091,12.2,1.08,0.52,44.78,29.73,2.4,73.72,30.23,28.96,9.31,7.62,21.9,35.4,34.5,TRUE
2014,hertford,37091,13.5,1.12,0.59,44.85,29.55,2.53,73.58,30.3,28.42,9.76,7.62,26.5,34.1,33.6,TRUE
2010,hoke,37093,12.5,6.81,1.22,23.78,35.74,6.87,60.67,38.56,21.58,4.51,2.9,33.6,32.7,NA,FALSE
2011,hoke,37093,13.3,6.74,1.33,23.93,36.09,6.94,61.15,39.16,21.5,4.57,2.85,25.1,31.7,28.2,FALSE
2012,hoke,37093,12.8,6.62,1.33,24.35,36.06,6.69,61.68,39.07,21.55,4.87,2.87,22.6,33.6,28.7,FALSE
2013,hoke,37093,13.4,6.68,1.43,24.59,36.27,6.78,62.19,39.22,21.65,5.19,2.91,20.1,33.6,28.7,FALSE
2014,hoke,37093,10.9,6.7,1.39,25.09,36.07,7.01,62.25,38.88,21.93,5.43,3.01,20.1,33.1,30.1,FALSE
2010,hyde,37095,11,0.5,0.26,26.36,52.31,4.46,74.98,34.4,30.03,8.26,6.75,NA,31.2,NA,TRUE
2011,hyde,37095,10.8,0.52,0.28,26.54,52.4,4.52,75.22,34.72,29.84,8.43,6.74,NA,30.8,29.5,TRUE
2012,hyde,37095,11,0.53,0.39,25.26,53.49,4.31,75.36,33.45,30.06,9.09,7.07,NA,32.2,30.8,TRUE
2013,hyde,37095,10.4,0.57,0.55,25.34,53.7,4.44,75.72,33.22,30.26,9.48,7.2,NA,32.2,30.8,TRUE
2014,hyde,37095,10.7,0.61,0.59,25.09,54.25,4.5,76.04,33.12,30.21,9.8,7.39,NA,31.5,28.6,TRUE
2010,iredell,37097,8.1,0.37,1.34,8.45,61.98,3.92,68.22,31.53,27.73,7.47,5.4,26.4,26.8,NA,FALSE
2011,iredell,37097,8.3,0.37,1.53,8.56,62.16,3.98,68.64,31.35,28.15,7.59,5.52,23.2,26.5,25.4,FALSE
2012,iredell,37097,8.7,0.38,1.66,8.64,62.37,4.05,69,31.2,28.14,8.12,5.59,22.4,28.4,25.3,FALSE
2013,iredell,37097,9.3,0.39,1.79,8.69,62.59,4.13,69.32,31.12,28.2,8.47,5.68,21,28.4,25.3,FALSE
2014,iredell,37097,10,0.4,1.8,8.69,62.92,4.22,69.59,30.92,28.32,8.82,5.75,19.7,27.9,23.9,FALSE
2010,jackson,37099,11.7,6.59,0.71,1.58,66.91,2.99,72.79,35.15,25.44,9.16,6.03,27.8,28,NA,TRUE
2011,jackson,37099,12.4,6.78,0.74,1.53,67.2,3.04,73.21,34.93,25.57,9.55,6.2,26.1,29.7,25.2,TRUE
2012,jackson,37099,12.3,6.78,0.71,1.55,67.02,2.95,73.11,34.38,25.05,10.31,6.32,26,33.1,24.7,TRUE
2013,jackson,37099,10.5,6.78,0.72,1.57,67.16,2.93,73.3,34.35,24.78,10.68,6.44,24.2,33.1,24.7,TRUE
2014,jackson,37099,9.6,6.77,0.75,1.55,67.59,2.89,73.77,34.08,24.62,11.19,6.77,22.2,32.8,25,TRUE
2010,johnston,37101,11.4,0.6,0.57,10.7,58.04,7.16,62.75,34.09,25.52,6.33,3.96,25.2,31.9,NA,FALSE
2011,johnston,37101,12.5,0.59,0.57,10.85,58.15,7.13,63.02,33.59,25.95,6.53,4.08,25.4,33.1,27.3,FALSE
2012,johnston,37101,11.9,0.59,0.59,10.96,58.47,7.19,63.43,33.29,26.12,7.03,4.17,24,34.4,27.7,FALSE
2013,johnston,37101,13.2,0.59,0.61,11.24,58.47,7.13,63.77,32.82,26.39,7.41,4.28,24,34.4,27.7,FALSE
2014,johnston,37101,12.2,0.6,0.65,11.39,58.6,7.23,64.01,32.48,26.64,7.72,4.4,25.4,33.4,27.8,FALSE
2010,jones,37103,12.5,0.52,0.33,24.36,50.81,2.33,73.7,27.11,31.64,9.58,7.69,NA,31.8,NA,FALSE
2011,jones,37103,12.9,0.62,0.36,24.59,51.54,2.63,74.47,27.71,31.75,9.76,7.88,NA,31.9,30.7,FALSE
2012,jones,37103,12.4,0.63,0.39,24.57,52.08,2.48,75.18,28,31.23,10.27,8.16,31.2,34.7,32.9,FALSE
2013,jones,37103,11.9,0.64,0.44,24.79,52.17,2.46,75.59,27.87,30.87,11.03,8.27,NA,34.7,32.9,FALSE
2014,jones,37103,12,0.63,0.44,24.75,52.9,2.83,75.88,27.75,31.03,11.59,8.33,44.2,34.1,33.1,FALSE
2010,lee,37105,10,0.82,0.82,14.36,55.96,10.29,61.67,32.16,26.02,7.59,6.19,24.7,28.7,NA,TRUE
2011,lee,37105,10.6,0.8,0.84,14.44,55.84,10.24,61.68,32,26.12,7.72,6.07,21.9,28.8,23.2,TRUE
2012,lee,37105,12.4,0.84,0.87,14.37,55.56,10.6,61.05,31.55,25.94,8.07,6.07,22.2,30,24.2,TRUE
2013,lee,37105,12.2,0.85,0.89,14.37,55.68,10.77,61.02,31.6,25.71,8.33,6.15,22.1,30,24.2,TRUE
2014,lee,37105,12.2,0.89,0.96,14.61,55.98,10.76,61.67,31.53,25.88,8.74,6.28,20,29.2,26.3,TRUE
2010,lenoir,37107,12.7,0.43,0.47,28.93,43.65,3.77,69.69,28.21,29.2,8.74,7.32,24.8,32.5,NA,TRUE
2011,lenoir,37107,12.9,0.45,0.52,29.05,43.73,3.72,70.02,28.2,29.13,8.91,7.5,24.1,32.6,32.1,TRUE
2012,lenoir,37107,12.5,0.44,0.58,29.24,43.75,3.65,70.36,28.12,28.95,9.36,7.58,21.5,32.4,34.4,TRUE
2013,lenoir,37107,13.2,0.45,0.62,29.67,43.65,3.71,70.69,28.19,28.73,9.81,7.66,17.7,32.4,34.4,TRUE
2014,lenoir,37107,13.2,0.48,0.65,30.03,43.7,4,70.85,28.36,28.56,10.14,7.79,16.1,34.2,35.6,TRUE
2010,lincoln,37109,9.4,0.28,0.46,4.15,69.23,4.04,70.08,31.09,29.69,8.15,5.18,24.1,28.4,NA,FALSE
2011,lincoln,37109,9.6,0.28,0.48,4.15,69.69,4.08,70.52,30.73,30.06,8.45,5.37,21.5,26.8,23.5,FALSE
2012,lincoln,37109,10.1,0.28,0.5,4.3,69.99,4.15,70.91,30.4,29.89,9.24,5.54,19.9,27.5,23.5,FALSE
2013,lincoln,37109,9.9,0.31,0.52,4.33,70.39,4.21,71.34,30.12,29.97,9.77,5.68,19.4,27.5,23.5,FALSE
2014,lincoln,37109,10.4,0.3,0.51,4.31,70.75,4.27,71.61,29.75,30.1,10.12,5.91,17.3,27.9,25.5,FALSE
2010,macon,37113,8,0.43,0.47,1.03,76.68,3.9,74.71,24.79,29.83,13.3,10.7,19.2,27.7,NA,TRUE
2011,macon,37113,7.6,0.46,0.5,1.02,76.79,3.72,75.04,24.57,29.72,13.63,10.84,20.1,27.1,25.9,TRUE
2012,macon,37113,8.3,0.47,0.5,1.08,76.88,3.56,75.36,24.5,29.06,14.38,10.98,19.6,25.4,25.1,TRUE
2013,macon,37113,8.6,0.47,0.58,1.16,76.83,3.46,75.58,24.41,28.65,14.83,11.16,21.7,25.4,25.1,TRUE
2014,macon,37113,9.4,0.48,0.68,1.12,76.76,3.39,75.65,24.32,28.18,15.17,11.38,20.9,24.5,25.5,TRUE
2010,madison,37115,9.2,0.2,0.24,0.91,75.56,1.18,75.73,29.04,30.16,10.02,7.7,32.2,26.5,NA,FALSE
2011,madison,37115,9.4,0.21,0.26,1,75.55,1.18,75.84,28.97,30.11,10.16,7.78,30.3,26.3,22.6,FALSE
2012,madison,37115,8.6,0.22,0.27,1.13,75.62,1.3,75.95,28.72,29.56,10.93,8.04,27.3,28.4,22.4,FALSE
2013,madison,37115,8.7,0.28,0.3,1.2,75.24,1.41,75.62,28.7,28.95,11.28,8.09,26.1,28.4,22.4,FALSE
2014,madison,37115,8.9,0.31,0.33,1.18,75.37,1.45,75.73,28.8,28.39,11.89,8.09,22.4,30,26,FALSE
2010,martin,37117,12.4,0.32,0.33,31.72,42.96,1.88,73.45,26.59,31.11,9.9,7.73,22.3,34.2,NA,TRUE
2011,martin,37117,12.6,0.31,0.35,31.96,43.38,1.94,74.06,26.4,31.33,10.23,8.04,16.3,32.8,29.1,TRUE
2012,martin,37117,13,0.33,0.36,32.27,43.51,1.99,74.49,26.39,30.98,10.91,8.2,16.1,35.5,29,TRUE
2013,martin,37117,12.7,0.34,0.44,32.55,43.63,1.97,74.98,26.43,30.75,11.46,8.31,12.9,35.5,29,TRUE
2014,martin,37117,11.7,0.34,0.46,32.6,43.91,1.96,75.35,26.32,30.43,11.91,8.65,11.8,33.9,30.2,TRUE
2010,mcdowell,37111,11.6,0.41,0.59,3.25,71.85,2.84,73.26,30.64,28.92,9.38,7.17,26.3,32.2,NA,TRUE
2011,mcdowell,37111,12.1,0.44,0.62,3.23,72.17,2.92,73.54,30.43,29.13,9.61,7.29,23.3,33.5,29.7,TRUE
2012,mcdowell,37111,11.9,0.45,0.63,3.22,72.41,2.95,73.76,30.24,29,10.1,7.37,22.9,33.4,30.7,TRUE
2013,mcdowell,37111,12.1,0.46,0.66,3.31,72.64,2.93,74.14,30.05,28.96,10.46,7.6,24,33.4,30.7,TRUE
2014,mcdowell,37111,10.9,0.47,0.68,3.32,72.77,2.9,74.33,29.61,29.03,10.87,7.72,23.1,33.8,31.5,TRUE
2010,mecklenburg,37119,9,0.56,3.64,21.75,46.07,7.51,64.5,39.46,23.68,5,3.88,17.4,24.2,NA,FALSE
2011,mecklenburg,37119,9.2,0.56,3.78,22.04,45.76,7.48,64.67,39.16,23.97,5.13,3.89,17,25.6,19.6,FALSE
2012,mecklenburg,37119,8.9,0.55,3.95,22.36,45.58,7.52,64.92,39,24.04,5.5,3.9,15.9,25.8,19.9,FALSE
2013,mecklenburg,37119,9,0.54,4.14,22.77,45.24,7.54,65.16,38.89,24.08,5.81,3.92,15,25.8,19.9,FALSE
2014,mecklenburg,37119,9.1,0.55,4.33,23.06,45.03,7.58,65.38,38.65,24.23,6.12,3.96,13.8,25.5,20.6,FALSE
2010,mitchell,37121,9.2,0.49,0.3,0.5,77.31,2.42,76.17,27.58,30.03,11.83,9.16,26,26.2,NA,TRUE
2011,mitchell,37121,10.1,0.53,0.33,0.52,77.47,2.51,76.35,27.32,30.26,11.94,9.34,23,26.1,26.6,TRUE
2012,mitchell,37121,11.3,0.57,0.38,0.53,77.68,2.62,76.54,27.19,29.94,12.6,9.43,23.6,28,25.9,TRUE
2013,mitchell,37121,10.1,0.63,0.41,0.58,77.85,2.77,76.68,27.06,30.02,12.85,9.53,23.5,28,25.9,TRUE
2014,mitchell,37121,9.8,0.64,0.42,0.56,78.08,2.93,76.77,26.68,29.93,13.2,9.89,26,29.1,28.5,TRUE
2010,montgomery,37123,11.1,0.5,1.14,13.95,57.98,7.04,66.53,29.66,28.2,8.89,6.81,26.6,30.8,NA,TRUE
2011,montgomery,37123,11.6,0.51,1.13,14,58.12,7.02,66.75,29.37,28.29,9.15,6.95,25.4,30.7,26.8,TRUE
2012,montgomery,37123,11.3,0.53,1.14,13.96,58.18,7.05,66.76,28.96,27.79,10.09,6.97,23.7,32.5,28.3,TRUE
2013,montgomery,37123,10.5,0.58,1.05,14.05,58.44,7.21,66.9,28.78,27.67,10.61,7.06,NA,32.5,28.3,TRUE
2014,montgomery,37123,9.5,0.61,1.06,14.15,58.71,7.26,67.27,28.56,27.67,11.04,7.25,NA,31.3,27.6,TRUE
2010,moore,37125,8.8,0.66,0.8,9.7,65.19,3.3,73.05,26.43,27.29,11.42,11.22,20.5,24.1,NA,TRUE
2011,moore,37125,9.6,0.67,0.88,9.74,65.3,3.27,73.31,26.51,27.32,11.51,11.24,20.1,25.9,23.7,TRUE
2012,moore,37125,9,0.69,0.92,9.74,65.41,3.26,73.51,26.67,26.81,12.09,11.2,19.5,26.6,23.8,TRUE
2013,moore,37125,8.1,0.7,0.99,9.73,65.27,3.34,73.33,26.78,26.32,12.36,11.21,16.8,26.6,23.8,TRUE
2014,moore,37125,8.4,0.71,1.08,9.68,65.39,3.35,73.52,27.1,26.05,12.53,11.19,15.4,28.5,27.9,TRUE
2010,nash,37127,10.9,0.62,0.7,26.83,45.42,3.53,70.04,30.45,29.06,7.86,6.2,23.2,32.3,NA,FALSE
2011,nash,37127,10.9,0.61,0.69,27.46,45.08,3.5,70.34,30.3,29.17,8.1,6.27,23,32.1,27.9,FALSE
2012,nash,37127,10.4,0.65,0.71,28.04,44.91,3.51,70.8,30.16,29.04,8.77,6.34,22,33.4,29,FALSE
2013,nash,37127,11.4,0.65,0.73,28.62,44.47,3.54,70.93,29.94,28.75,9.32,6.46,23.5,33.4,29,FALSE
2014,nash,37127,12.1,0.68,0.76,29.11,44.16,3.62,71.09,29.85,28.52,9.73,6.62,22.4,33.3,30.4,FALSE
2010,new hanover,37129,10,0.49,1.09,10.64,64.45,3.32,73.36,36.88,25.84,7.75,6.2,20,23.8,NA,FALSE
2011,new hanover,37129,8.8,0.48,1.14,10.62,64.56,3.23,73.56,36.72,25.89,7.98,6.2,21.5,25.4,21.1,FALSE
2012,new hanover,37129,7.9,0.47,1.22,10.57,64.71,3.23,73.74,36.59,25.56,8.54,6.28,20.1,25.6,20.8,FALSE
2013,new hanover,37129,7.8,0.45,1.26,10.64,64.82,3.18,73.99,36.42,25.43,8.95,6.36,18.3,25.6,20.8,FALSE
2014,new hanover,37129,7.7,0.43,1.28,10.65,65.08,3.13,74.31,36.15,25.47,9.41,6.41,18,25.5,21,FALSE
2010,northampton,37131,11.2,0.37,0.18,43.59,32.82,0.83,76.13,26.14,31.01,10.94,8.86,25.5,37.5,NA,TRUE
2011,northampton,37131,11.8,0.37,0.16,43.93,32.83,0.91,76.39,25.91,31.04,11.24,9.11,21.6,35.6,32,TRUE
2012,northampton,37131,12.2,0.4,0.19,44.32,33.1,0.99,77.03,25.37,31.07,12.11,9.46,25.5,34.2,33.3,TRUE
2013,northampton,37131,12.6,0.46,0.21,44.86,33.07,1.04,77.56,25.37,30.75,12.77,9.71,26,34.2,33.3,TRUE
2014,northampton,37131,11.9,0.46,0.2,45.37,33.42,1.04,78.4,25.64,30.67,13.14,9.99,21.5,30.7,34.1,TRUE
2010,onslow,37133,10.6,0.63,2.04,11.18,56.41,6.28,63.98,46.47,16.64,4.26,2.89,26.2,29.8,NA,FALSE
2011,onslow,37133,10.3,0.64,2.01,11.17,56.51,6.59,63.74,46.35,16.58,4.33,3.07,25.3,30.6,22.8,FALSE
2012,onslow,37133,10.9,0.67,2.03,11.36,56.77,7.06,63.78,47.36,15.97,4.42,3.1,26.8,30,22.5,FALSE
2013,onslow,37133,9.8,0.71,2.06,11.32,56.88,7.37,63.59,47.7,15.52,4.58,3.17,25.7,30,22.5,FALSE
2014,onslow,37133,10.1,0.75,2.07,11.41,56.69,7.55,63.36,47.32,15.55,4.75,3.29,24.8,27.8,23.6,FALSE
2010,orange,37135,7,0.47,5.02,8.96,58.91,5.03,68.33,38.18,25.5,5.67,4.01,13.1,22.3,NA,FALSE
2011,orange,37135,7.5,0.46,5.14,9.02,58.63,4.82,68.42,37.41,25.75,5.99,4.09,12.9,22.4,15.9,FALSE
2012,orange,37135,7.7,0.46,5.25,9.07,58.48,4.74,68.51,37.17,25.43,6.48,4.18,12.7,22.7,16.3,FALSE
2013,orange,37135,8,0.46,5.47,9.18,58.45,4.76,68.81,37.12,25.33,6.88,4.24,12,22.7,16.3,FALSE
2014,orange,37135,8.2,0.46,5.62,9.15,58.67,4.76,69.14,36.84,25.39,7.3,4.37,11.6,20.8,16,FALSE
2010,pamlico,37137,10.3,0.52,0.38,16.74,62.5,1.85,78.29,25.5,32.77,12.67,9.2,30.6,28.7,NA,FALSE
2011,pamlico,37137,11.2,0.49,0.39,16.66,62.81,1.8,78.56,25.54,32.41,13.03,9.39,29.5,28.6,26.4,FALSE
2012,pamlico,37137,11.5,0.51,0.47,16.6,63.38,1.92,79.04,25.29,31.92,13.99,9.76,NA,27.5,26.9,FALSE
2013,pamlico,37137,11.4,0.53,0.5,16.75,63.66,1.93,79.52,24.66,31.67,14.83,10.29,17.4,27.5,26.9,FALSE
2014,pamlico,37137,10.4,0.56,0.57,16.62,64.05,2.11,79.69,25.06,30.88,15.5,10.36,NA,30.2,28.7,FALSE
2010,pasquotank,37139,11.5,0.36,0.96,27.25,44.72,2.43,70.86,33.58,26.1,7.36,6.25,28.1,32.3,NA,TRUE
2011,pasquotank,37139,13,0.38,1.03,27.4,45.13,2.54,71.41,33.53,26.53,7.68,6.2,30,31.7,25.9,TRUE
2012,pasquotank,37139,13.3,0.4,1.1,27.41,45.18,2.63,71.46,33.62,26.15,8.16,6.17,33,33.3,26.2,TRUE
2013,pasquotank,37139,13.2,0.43,1.14,27.59,45.5,2.6,72.05,33.33,26.45,8.62,6.25,34.6,33.3,26.2,TRUE
2014,pasquotank,37139,11.5,0.41,1.16,27.65,45.68,2.73,72.18,33.22,26.36,8.97,6.35,34.8,32.6,29.3,TRUE
2010,pender,37141,10.1,0.6,0.39,13.39,60.55,3.54,71.4,30.21,29.49,9.05,6.18,25.7,28.7,NA,FALSE
2011,pender,37141,10.8,0.59,0.41,13.35,60.8,3.49,71.66,30.16,29.43,9.25,6.31,27.3,32.3,26.6,FALSE
2012,pender,37141,10.5,0.59,0.46,13.38,61.09,3.43,72.09,30.04,29.32,9.84,6.33,27.7,32.2,24.5,FALSE
2013,pender,37141,10.3,0.61,0.49,13.17,61.24,3.5,72.02,29.85,29.03,10.19,6.44,29.6,32.2,24.5,FALSE
2014,pender,37141,10.3,0.59,0.51,12.88,61.63,3.56,72.05,29.63,29.08,10.43,6.47,28.1,29.2,26.6,FALSE
2010,perquimans,37143,11.1,0.24,0.33,18.06,58.75,1.3,76.1,25.54,30.31,13.1,8.44,NA,31.4,NA,TRUE
2011,perquimans,37143,11.4,0.27,0.36,18.22,58.95,1.34,76.46,25.55,29.96,13.38,8.91,25.2,32.1,28.3,TRUE
2012,perquimans,37143,11.4,0.28,0.42,18.39,58.98,1.36,76.71,25.2,29.5,13.98,9.39,22.3,33.4,28.2,TRUE
2013,perquimans,37143,10.4,0.26,0.43,18.2,58.93,1.39,76.44,25.17,28.74,14.26,9.65,NA,33.4,28.2,TRUE
2014,perquimans,37143,10.7,0.3,0.38,18.18,59.26,1.46,76.66,24.83,28.41,14.87,10,21,31.9,28.1,TRUE
2010,person,37145,11.6,0.57,0.29,19.69,53.97,2.33,72.19,29.17,30.11,8.64,6.61,30.8,32,NA,FALSE
2011,person,37145,10.7,0.58,0.3,19.86,54.07,2.39,72.42,29.07,30.23,8.88,6.63,29.8,30.1,26.7,FALSE
2012,person,37145,11,0.6,0.32,20.11,54.43,2.39,73.07,29.08,30.11,9.39,6.87,25.5,33.2,28,FALSE
2013,person,37145,10.6,0.59,0.33,20.44,54.25,2.36,73.26,28.87,29.93,9.79,7.03,25.6,33.2,28,FALSE
2014,person,37145,10.7,0.61,0.36,20.67,54.5,2.33,73.8,28.83,29.79,10.36,7.14,27,32.6,29.5,FALSE
2010,pitt,37147,9.4,0.36,1.44,23.72,46.61,3.18,68.94,39.53,22.67,5.55,4.37,20.2,32.2,NA,FALSE
2011,pitt,37147,9.5,0.36,1.51,23.99,46.83,3.18,69.5,39.76,22.82,5.65,4.44,19.6,32.9,25.7,FALSE
2012,pitt,37147,9.5,0.37,1.52,24.18,46.83,3.27,69.62,39.77,22.57,6.05,4.5,19.5,35.9,25.1,FALSE
2013,pitt,37147,9.9,0.37,1.55,24.41,46.76,3.27,69.82,39.58,22.52,6.43,4.56,19.1,35.9,25.1,FALSE
2014,pitt,37147,10.2,0.38,1.6,24.73,46.64,3.37,69.98,39.42,22.47,6.79,4.67,19.2,35.7,24.3,FALSE
2010,polk,37149,7.5,0.29,0.31,3.52,74.8,2.92,76,23.09,31.33,12.22,12.27,20.6,23.7,NA,TRUE
2011,polk,37149,8,0.3,0.34,3.55,75.53,3.13,76.59,22.95,31.71,12.62,12.44,20.4,23.2,22.6,TRUE
2012,polk,37149,9.1,0.34,0.37,3.62,75.66,3,76.98,22.53,31.24,13.62,12.6,21.5,22.1,25.1,TRUE
2013,polk,37149,9.5,0.35,0.37,3.68,76.03,3.05,77.39,22.34,30.93,14.36,12.81,23.4,22.1,25.1,TRUE
2014,polk,37149,9.5,0.36,0.4,3.72,76.41,3.08,77.8,22.18,30.91,14.84,12.95,18.9,23,25.8,TRUE
2010,randolph,37151,9.3,0.69,0.78,4.3,67.4,5.68,67.49,31.32,27.71,8.12,6.02,26,28.9,NA,FALSE
2011,randolph,37151,10,0.67,0.77,4.31,67.76,5.7,67.81,30.94,28.04,8.36,6.16,25.6,28.8,29,FALSE
2012,randolph,37151,10.8,0.7,0.8,4.39,67.89,5.72,68.08,30.55,28.02,8.94,6.29,24.2,29.5,30.3,FALSE
2013,randolph,37151,12,0.72,0.84,4.53,67.96,5.78,68.27,30.18,28.15,9.33,6.39,23.8,29.5,30.3,FALSE
2014,randolph,37151,12,0.7,0.9,4.6,68.15,5.89,68.46,29.96,28.23,9.69,6.47,23.4,28.7,28.8,FALSE
2010,richmond,37153,11.3,1.92,0.79,21.51,48.58,3.34,69.46,31.15,27.25,8.17,6.23,26.8,30.4,NA,TRUE
2011,richmond,37153,11.3,1.96,0.86,21.71,48.58,3.35,69.76,31.08,27.31,8.37,6.34,24.1,30.7,28.7,TRUE
