year,county,county_fips,diabetes_percentage,pct_american_indian_or_alaska_native,pct_asian_or_pacific_islander,pct_black_or_african_american,pct_white,pct_hispanic_or_latino,pct_not_hispanic_or_latino,pct_20-44,pct_45-64,pct_65-74,pct_75+,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,rural
2013,bladen,37017,12.2,1.92,0.24,26.4,47.35,3.98,71.93,28.58,29.4,10.8,7.13,23.8,37.2,31.1,TRUE
2014,bladen,37017,12.1,1.98,0.25,26.45,47.64,4.04,72.28,28.44,29.14,11.33,7.41,20.6,36.1,33.2,TRUE
2010,brunswick,37019,9.3,0.62,0.53,8.49,69.91,3.04,76.51,26.32,31.61,14.39,7.23,23.6,27.5,NA,FALSE
2011,brunswick,37019,8.7,0.62,0.55,8.51,70.2,2.87,77.01,25.9,31.31,15.05,7.61,23.8,28.4,25.5,FALSE
2012,brunswick,37019,8.6,0.64,0.63,8.61,70.41,2.77,77.52,25.37,30.62,16.39,7.91,23.9,29.5,27,FALSE
2013,brunswick,37019,8.1,0.67,0.65,8.58,70.83,2.76,77.97,25.12,30.06,17.36,8.19,22.2,29.5,27,FALSE
2014,brunswick,37019,8.3,0.68,0.68,8.59,71.31,2.75,78.51,24.7,29.76,18.3,8.51,21.4,29.5,25.6,FALSE
2010,buncombe,37021,8.4,0.42,0.9,4.77,71.07,3.57,73.59,32.83,28.28,8.49,7.55,23.6,21.2,NA,FALSE
2011,buncombe,37021,8.7,0.41,0.94,4.8,71.33,3.61,73.87,32.84,28.34,8.73,7.58,22.7,22.2,20,FALSE
2012,buncombe,37021,8,0.42,0.99,4.82,71.49,3.61,74.11,32.77,27.99,9.35,7.61,21.5,23.8,20.3,FALSE
2013,buncombe,37021,8.2,0.42,1.06,4.83,71.71,3.68,74.35,32.91,27.74,9.82,7.56,20.5,23.8,20.3,FALSE
2014,buncombe,37021,7.9,0.43,1.11,4.89,71.96,3.73,74.66,32.86,27.56,10.32,7.64,20,23.6,20.9,FALSE
2010,burke,37023,11.2,0.51,2.46,4.58,67.12,2.95,71.73,29.81,28.67,9.12,7.08,31.3,27.5,NA,FALSE
2011,burke,37023,11,0.53,2.53,4.65,67.46,3.06,72.11,29.67,29.07,9.23,7.2,29.1,26.8,29.6,FALSE
2012,burke,37023,10.9,0.56,2.62,4.69,68.01,3.09,72.79,29.51,29.21,9.78,7.38,27.1,28.4,28.2,FALSE
2013,burke,37023,10,0.58,2.76,4.74,68.56,3.12,73.52,29.51,29.38,10.23,7.52,23.6,28.4,28.2,FALSE
2014,burke,37023,9.4,0.59,2.85,4.82,68.97,3.18,74.04,29.41,29.42,10.63,7.76,24.2,28.8,29.9,FALSE
2010,cabarrus,37025,9.6,0.41,1.51,10.38,58.02,5.16,65.16,33.68,25.27,6.44,4.93,20.6,28.5,NA,FALSE
2011,cabarrus,37025,9.3,0.41,1.64,10.62,57.89,5.14,65.41,33.37,25.66,6.57,4.96,21.6,29.8,23.8,FALSE
2012,cabarrus,37025,9.3,0.43,1.73,10.86,57.74,5.17,65.59,33.03,25.81,6.95,4.96,19.9,31,23.1,FALSE
2013,cabarrus,37025,9.3,0.43,1.87,11.17,57.62,5.14,65.95,32.84,26.01,7.26,4.98,19.9,31,23.1,FALSE
2014,cabarrus,37025,9.1,0.44,2.04,11.52,57.34,5.19,66.16,32.76,26.11,7.48,5,19.3,30.9,23.6,FALSE
2010,caldwell,37027,10.1,0.37,0.43,3.61,70.63,2.54,72.5,30.35,29.15,9.16,6.38,25.2,29.9,NA,FALSE
2011,caldwell,37027,11.1,0.38,0.46,3.65,71.16,2.61,73.04,30.14,29.5,9.48,6.53,25.8,30.8,27.7,FALSE
2012,caldwell,37027,12.1,0.38,0.48,3.66,71.61,2.66,73.48,29.93,29.46,10.03,6.72,26.7,30.3,27.5,FALSE
2013,caldwell,37027,12.1,0.39,0.49,3.65,71.95,2.73,73.76,29.66,29.41,10.46,6.95,24.4,30.3,27.5,FALSE
2014,caldwell,37027,11.6,0.4,0.51,3.7,72.31,2.81,74.11,29.22,29.68,10.92,7.1,22.5,29.5,28.6,FALSE
2010,camden,37029,9.8,0.25,1.22,10.09,60.72,1.25,71.03,29.97,29.27,7.79,5.24,NA,31.8,NA,TRUE
2011,camden,37029,9.8,0.27,1.25,10.19,60.88,1.48,71.11,29.27,29.77,8.14,5.41,19.3,31.6,26,TRUE
