county_fips,year,adult_smoking_percent,adult_obesity_percent,physical_inactivity_percent,food_environment_index
05107,2010,20.2,35.8,NA,NA
05109,2010,NA,28.9,NA,NA
05111,2010,36.7,33.4,NA,NA
05113,2010,25.1,28.6,NA,NA
05115,2010,25.8,29.6,NA,NA
05117,2010,24.3,29.7,NA,NA
05119,2010,20,27,NA,NA
05121,2010,28.5,28.4,NA,NA
05123,2010,26.4,32.4,NA,NA
05125,2010,24.6,27,NA,NA
05127,2010,28.8,29.9,NA,NA
05129,2010,19.8,29.1,NA,NA
05131,2010,20.5,27.8,NA,NA
05133,2010,26.6,30.5,NA,NA
05135,2010,33.8,26.2,NA,NA
05137,2010,25.7,28.5,NA,NA
05139,2010,25.9,28.7,NA,NA
05141,2010,30.4,27.8,NA,NA
05143,2010,21.7,25.2,NA,NA
05145,2010,20.1,28,NA,NA
05147,2010,26.1,30.9,NA,NA
05149,2010,26.7,31.9,NA,NA
06001,2010,13.4,19.3,NA,NA
06003,2010,NA,23.9,NA,NA
06005,2010,NA,26.1,NA,NA
06007,2010,18.8,25.1,NA,NA
06009,2010,NA,22.7,NA,NA
06011,2010,NA,24.2,NA,NA
06013,2010,14,22.2,NA,NA
06015,2010,NA,26.8,NA,NA
06017,2010,14.4,19.9,NA,NA
06019,2010,14,26.4,NA,NA
06021,2010,NA,24.6,NA,NA
06023,2010,17.8,23.7,NA,NA
06025,2010,10.3,25.4,NA,NA
06027,2010,NA,23.1,NA,NA
06029,2010,20.4,29.4,NA,NA
06031,2010,11.3,26.2,NA,NA
06033,2010,21.7,23.7,NA,NA
06035,2010,NA,24.9,NA,NA
06037,2010,15.4,20.4,NA,NA
06039,2010,14.2,23.6,NA,NA
06041,2010,12.5,17.1,NA,NA
06043,2010,NA,23.2,NA,NA
06045,2010,NA,20.4,NA,NA
06047,2010,14.4,29.5,NA,NA
06049,2010,NA,22.4,NA,NA
06051,2010,NA,22.2,NA,NA
06053,2010,13.7,21.8,NA,NA
06055,2010,7.7,20.8,NA,NA
06057,2010,11.9,20.5,NA,NA
06059,2010,13.7,18.5,NA,NA
06061,2010,13,17.6,NA,NA
06063,2010,NA,26,NA,NA
06065,2010,15.6,24.5,NA,NA
06067,2010,16.3,25,NA,NA
06069,2010,4.6,22.9,NA,NA
06071,2010,17.1,27.1,NA,NA
06073,2010,14.4,22.2,NA,NA
06075,2010,15.2,16.1,NA,NA
06077,2010,16.9,29.2,NA,NA
06079,2010,11.4,21.5,NA,NA
06081,2010,15.3,16.9,NA,NA
06083,2010,12.7,22.2,NA,NA
06085,2010,10.1,19,NA,NA
06087,2010,10.9,17.8,NA,NA
06089,2010,22.8,25.3,NA,NA
06091,2010,NA,24,NA,NA
06093,2010,16.8,25.5,NA,NA
06095,2010,16.1,25.1,NA,NA
06097,2010,16.1,19.8,NA,NA
06099,2010,17.3,28,NA,NA
06101,2010,NA,24.5,NA,NA
06103,2010,NA,25.5,NA,NA
06105,2010,NA,23.2,NA,NA
06107,2010,19.4,28.2,NA,NA
06109,2010,23.4,22.8,NA,NA
06111,2010,16.2,23.1,NA,NA
06113,2010,8.9,25.4,NA,NA
06115,2010,NA,27.4,NA,NA
08001,2010,22.5,24.3,NA,NA
08003,2010,15.2,19.2,NA,NA
08005,2010,18.8,19.5,NA,NA
08007,2010,21.4,16.6,NA,NA
08009,2010,NA,23.8,NA,NA
08011,2010,NA,21.7,NA,NA
08013,2010,13.4,12.5,NA,NA
08014,2010,15,18.7,NA,NA
08015,2010,18.2,15.5,NA,NA
08017,2010,NA,18.3,NA,NA
08019,2010,NA,20.4,NA,NA
08021,2010,NA,16.6,NA,NA
08023,2010,NA,18.4,NA,NA
08025,2010,NA,19.6,NA,NA
08027,2010,NA,16.8,NA,NA
08029,2010,22.1,19.7,NA,NA
08031,2010,21.1,16.3,NA,NA
08033,2010,10.4,19.4,NA,NA
08035,2010,8.9,16,NA,NA
08037,2010,15.1,13,NA,NA
08039,2010,19.7,17.4,NA,NA
08041,2010,19.8,19.8,NA,NA
08043,2010,27.7,19.8,NA,NA
08045,2010,19.5,15.4,NA,NA
08047,2010,NA,16.8,NA,NA
08049,2010,18.1,16.6,NA,NA
08051,2010,14.6,15.2,NA,NA
08053,2010,NA,17.5,NA,NA
08055,2010,NA,18.3,NA,NA
08057,2010,16,21.7,NA,NA
08059,2010,19.5,17.4,NA,NA
08061,2010,NA,18.6,NA,NA
08063,2010,NA,24,NA,NA
08065,2010,NA,18.3,NA,NA
08067,2010,20.5,14.2,NA,NA
08069,2010,16.7,16.5,NA,NA
08071,2010,33.4,20.7,NA,NA
08073,2010,NA,22,NA,NA
08075,2010,29,21.4,NA,NA
08077,2010,20.8,19.9,NA,NA
08079,2010,NA,18.1,NA,NA
08081,2010,23.8,19.4,NA,NA
08083,2010,23.1,19,NA,NA
08085,2010,18.1,16.9,NA,NA
08087,2010,20.6,19.5,NA,NA
08089,2010,20.7,23.3,NA,NA
08091,2010,NA,17.3,NA,NA
08093,2010,18.1,16.5,NA,NA
08095,2010,NA,19.6,NA,NA
08097,2010,6.6,13.5,NA,NA
08099,2010,19.6,20.1,NA,NA
08101,2010,25.3,23.3,NA,NA
08103,2010,18.8,15.7,NA,NA
08105,2010,18.9,17.5,NA,NA
08107,2010,15.1,13,NA,NA
