county_fips,pct_rural,rural
06095,4.41,Mostly Urban
06097,16.79,Mostly Urban
06099,9.16,Mostly Urban
06101,15.22,Mostly Urban
06103,49.76,Mostly Urban
06105,100,Rural
06107,21.28,Mostly Urban
06109,54.25,Mostly Rural
06111,3.45,Mostly Urban
06113,8.95,Mostly Urban
06115,33.88,Mostly Urban
08001,3.94,Mostly Urban
08003,38.85,Mostly Urban
08005,1.71,Mostly Urban
08007,65.41,Mostly Rural
08009,100,Rural
08011,46.41,Mostly Urban
08013,10.55,Mostly Urban
08015,47.4,Mostly Urban
08017,100,Rural
08019,97.58,Mostly Rural
08021,100,Rural
08023,100,Rural
08025,100,Rural
08027,100,Rural
08029,77,Mostly Rural
08031,0,Mostly Urban
08033,100,Rural
08035,15.1,Mostly Urban
08037,38.23,Mostly Urban
08039,100,Rural
08041,8.94,Mostly Urban
08043,31.93,Mostly Urban
08045,30.97,Mostly Urban
08047,100,Rural
08049,100,Rural
08051,69.23,Mostly Rural
08053,100,Rural
08055,63.49,Mostly Rural
08057,100,Rural
08059,7.19,Mostly Urban
08061,100,Rural
08063,58.05,Mostly Rural
08065,31.36,Mostly Urban
08067,68.63,Mostly Rural
08069,16.64,Mostly Urban
08071,44.45,Mostly Urban
08073,100,Rural
08075,35.26,Mostly Urban
08077,14.96,Mostly Urban
08079,100,Rural
08081,29.48,Mostly Urban
08083,66.47,Mostly Rural
08085,51.31,Mostly Rural
08087,33.69,Mostly Urban
08089,37.13,Mostly Urban
08091,100,Rural
08093,100,Rural
08095,100,Rural
08097,52.94,Mostly Rural
08099,38.75,Mostly Urban
08101,12.99,Mostly Urban
08103,100,Rural
08105,66.9,Mostly Rural
08107,46.21,Mostly Urban
08109,100,Rural
08111,100,Rural
08113,100,Rural
08115,100,Rural
08117,40.36,Mostly Urban
08119,66.85,Mostly Rural
08121,100,Rural
08123,27.99,Mostly Urban
08125,68.75,Mostly Rural
09001,3.92,Mostly Urban
09003,5,Mostly Urban
09005,45.44,Mostly Urban
09007,25.64,Mostly Urban
09009,3.78,Mostly Urban
09011,26.18,Mostly Urban
09013,38.39,Mostly Urban
09015,48.9,Mostly Urban
10001,34.39,Mostly Urban
10003,5.01,Mostly Urban
10005,44.01,Mostly Urban
11001,0,Mostly Urban
12001,24.6,Mostly Urban
12003,63.3,Mostly Rural
12005,11.65,Mostly Urban
12007,68.81,Mostly Rural
12009,4.24,Mostly Urban
12011,0.21,Mostly Urban
12013,74.59,Mostly Rural
12015,10.46,Mostly Urban
12017,41.55,Mostly Urban
12019,25.57,Mostly Urban
12021,8.08,Mostly Urban
12023,64.74,Mostly Rural
12027,57.35,Mostly Rural
12029,86.24,Mostly Rural
12031,3.47,Mostly Urban
12033,11.95,Mostly Urban
12035,32.35,Mostly Urban
12037,79.53,Mostly Rural
12039,67.77,Mostly Rural
12041,100,Rural
12043,81.02,Mostly Rural
12045,74.86,Mostly Rural
12047,76.58,Mostly Rural
12049,46.42,Mostly Urban
12051,34.75,Mostly Urban
12053,23.45,Mostly Urban
12055,34.68,Mostly Urban
12057,5.26,Mostly Urban
12059,86.25,Mostly Rural
12061,6.73,Mostly Urban
12063,84.81,Mostly Rural
12065,100,Rural
12067,100,Rural
12069,29.07,Mostly Urban
12071,11.85,Mostly Urban
12073,13.52,Mostly Urban
12075,100,Rural
12077,100,Rural
12079,77.74,Mostly Rural
12081,6.2,Mostly Urban
12083,39.66,Mostly Urban
12085,9.17,Mostly Urban
12086,0.53,Mostly Urban
12087,11.44,Mostly Urban
12089,47.2,Mostly Urban
12091,9.88,Mostly Urban
12093,40.47,Mostly Urban
12095,3.22,Mostly Urban
12097,24.78,Mostly Urban
12099,1.49,Mostly Urban
12101,12.45,Mostly Urban
12103,0.08,Mostly Urban
12105,22.14,Mostly Urban
12107,56.47,Mostly Rural
12109,20.97,Mostly Urban
12111,6.69,Mostly Urban
12113,28.08,Mostly Urban
12115,3.94,Mostly Urban
12117,3.88,Mostly Urban
12119,49.51,Mostly Urban
12121,82.54,Mostly Rural
12123,69.25,Mostly Rural
12125,73.39,Mostly Rural
12127,8.7,Mostly Urban
12129,100,Rural
12131,77.61,Mostly Rural
12133,82.04,Mostly Rural
13001,70.52,Mostly Rural
13003,100,Rural
13005,69.56,Mostly Rural
13007,100,Rural
13009,40.78,Mostly Urban
13011,94.87,Mostly Rural
13013,53.83,Mostly Rural
13015,41.58,Mostly Urban
13017,34.87,Mostly Urban
13019,74.41,Mostly Rural
13021,13.15,Mostly Urban
13023,53.43,Mostly Rural
13025,99.03,Mostly Rural
13027,70.9,Mostly Rural
13029,60.09,Mostly Rural
13031,52.72,Mostly Rural
13033,74.13,Mostly Rural
13035,76.99,Mostly Rural
13037,100,Rural
13039,39.61,Mostly Urban
13043,71.82,Mostly Rural
13045,53.22,Mostly Rural
13047,28.18,Mostly Urban
13049,58.28,Mostly Rural
13051,5.51,Mostly Urban
13053,38.84,Mostly Urban
13055,58.6,Mostly Rural
13057,26.2,Mostly Urban
13059,8.4,Mostly Urban
13061,100,Rural
13063,1.35,Mostly Urban
13065,57.24,Mostly Rural
13067,0.48,Mostly Urban
13069,64.3,Mostly Rural
13071,60.05,Mostly Rural
13073,27.31,Mostly Urban
13075,59.61,Mostly Rural
13077,45.43,Mostly Urban
13079,100,Rural
13081,43.24,Mostly Urban
13083,82.09,Mostly Rural
13085,100,Rural
13087,55.88,Mostly Rural
13089,0.44,Mostly Urban
13091,69,Mostly Rural
13093,77.44,Mostly Rural
13095,12.75,Mostly Urban
13097,19.74,Mostly Urban
13099,69.01,Mostly Rural
13101,100,Rural
13103,76.16,Mostly Rural
13105,68.35,Mostly Rural
13107,68.7,Mostly Rural
13109,64.28,Mostly Rural
13111,100,Rural
13113,21.28,Mostly Urban
13115,35.34,Mostly Urban
13117,36.35,Mostly Urban
13119,90.73,Mostly Rural
13121,1.92,Mostly Urban
13123,89.32,Mostly Rural
13125,100,Rural
13127,24.03,Mostly Urban
13129,64.35,Mostly Rural
13131,62.2,Mostly Rural
13133,84.07,Mostly Rural
13135,2.56,Mostly Urban
13137,68.94,Mostly Rural
13139,34.36,Mostly Urban
13141,72.26,Mostly Rural
13143,82.41,Mostly Rural
13145,96.71,Mostly Rural
13147,75.94,Mostly Rural
13149,100,Rural
13151,26.57,Mostly Urban
13153,13.97,Mostly Urban
13155,69.63,Mostly Rural
13157,87,Mostly Rural
13159,100,Rural
13161,65.28,Mostly Rural
13163,81.46,Mostly Rural
13165,65.17,Mostly Rural
13167,100,Rural
13169,80.24,Mostly Rural
13171,58.26,Mostly Rural
13173,94.95,Mostly Rural
13175,56.97,Mostly Rural
13177,50.18,Mostly Rural
13179,24.45,Mostly Urban
13181,100,Rural
13183,89.11,Mostly Rural
13185,32.67,Mostly Urban
13187,88.55,Mostly Rural
13189,60.92,Mostly Rural
13191,77,Mostly Rural
13193,59.22,Mostly Rural
13195,96.42,Mostly Rural
13197,100,Rural
13199,81.25,Mostly Rural
13201,100,Rural
13205,57.65,Mostly Rural
13207,76.56,Mostly Rural
13209,98.91,Mostly Rural
13211,76.14,Mostly Rural
13213,72.47,Mostly Rural
13215,2.19,Mostly Urban
13217,43.36,Mostly Urban
13219,51.65,Mostly Rural
13221,99.98,Mostly Rural
13223,40.62,Mostly Urban
