County,Percentage,CountyFIPS,year
New Hanover,6.8,37129,2016
Northampton,18.1,37131,2016
Onslow,11,37133,2016
Orange,5.6,37135,2016
Pamlico,12,37137,2016
Pasquotank,10,37139,2016
Pender,15,37141,2016
Perquimans,13.1,37143,2016
Person,7.4,37145,2016
Pitt,9.5,37147,2016
Polk,11,37149,2016
Randolph,9.7,37151,2016
Richmond,17.4,37153,2016
Robeson,14.9,37155,2016
Rockingham,12,37157,2016
Rowan,12.3,37159,2016
Rutherford,10.5,37161,2016
Sampson,13.1,37163,2016
Scotland,16.7,37165,2016
Stanly,7.8,37167,2016
Stokes,11,37169,2016
Surry,12.1,37171,2016
Swain,11,37173,2016
Transylvania,6.6,37175,2016
Tyrrell,10.9,37177,2016
Union,8.1,37179,2016
Vance,8,37181,2016
Wake,8.4,37183,2016
Warren,4.8,37185,2016
Washington,14.2,37187,2016
Watauga,6.8,37189,2016
Wayne,15.3,37191,2016
Wilkes,11.3,37193,2016
Wilson,12.3,37195,2016
Yadkin,8.9,37197,2016
Yancey,15.3,37199,2016
